dataset,seed,method,metric,value,source_summary
CSE-CIC-IDS2018,46,centralized,roc_auc,0.9999032287406192,experiments/02_multiseed/results/CSECICIDS2018/seed_46/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,46,nondp,accuracy,0.999308890424688,experiments/02_multiseed/results/CSECICIDS2018/seed_46/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,46,nondp,precision,0.9953802155899392,experiments/02_multiseed/results/CSECICIDS2018/seed_46/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,46,nondp,recall,0.9932316247759119,experiments/02_multiseed/results/CSECICIDS2018/seed_46/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,46,nondp,f1,0.9943047594630725,experiments/02_multiseed/results/CSECICIDS2018/seed_46/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,46,nondp,roc_auc,0.9996324854825622,experiments/02_multiseed/results/CSECICIDS2018/seed_46/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,46,dp,accuracy,0.9977133384148035,experiments/02_multiseed/results/CSECICIDS2018/seed_46/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,46,dp,precision,0.9914798206278027,experiments/02_multiseed/results/CSECICIDS2018/seed_46/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,46,dp,recall,0.9706947645702997,experiments/02_multiseed/results/CSECICIDS2018/seed_46/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,46,dp,f1,0.9809772059231324,experiments/02_multiseed/results/CSECICIDS2018/seed_46/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,46,dp,roc_auc,0.9993601883566832,experiments/02_multiseed/results/CSECICIDS2018/seed_46/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,47,centralized,accuracy,0.9996111119753067,experiments/02_multiseed/results/CSECICIDS2018/seed_47/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,47,centralized,precision,0.9982749761432871,experiments/02_multiseed/results/CSECICIDS2018/seed_47/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,47,centralized,recall,0.9953159878508435,experiments/02_multiseed/results/CSECICIDS2018/seed_47/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,47,centralized,f1,0.9967932860572077,experiments/02_multiseed/results/CSECICIDS2018/seed_47/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,47,centralized,roc_auc,0.9999445101631081,experiments/02_multiseed/results/CSECICIDS2018/seed_47/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,47,nondp,accuracy,0.9993022237728361,experiments/02_multiseed/results/CSECICIDS2018/seed_47/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,47,nondp,precision,0.9930639214397838,experiments/02_multiseed/results/CSECICIDS2018/seed_47/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,47,nondp,recall,0.9954623632305046,experiments/02_multiseed/results/CSECICIDS2018/seed_47/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,47,nondp,f1,0.9942616959064328,experiments/02_multiseed/results/CSECICIDS2018/seed_47/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,47,nondp,roc_auc,0.9994830067711664,experiments/02_multiseed/results/CSECICIDS2018/seed_47/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,47,dp,accuracy,0.998435559032091,experiments/02_multiseed/results/CSECICIDS2018/seed_47/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,47,dp,precision,0.9946857928574083,experiments/02_multiseed/results/CSECICIDS2018/seed_47/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,47,dp,recall,0.979470853002525,experiments/02_multiseed/results/CSECICIDS2018/seed_47/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,47,dp,f1,0.9870196917176783,experiments/02_multiseed/results/CSECICIDS2018/seed_47/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,47,dp,roc_auc,0.9992602335998428,experiments/02_multiseed/results/CSECICIDS2018/seed_47/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,48,centralized,accuracy,0.9995777787160472,experiments/02_multiseed/results/CSECICIDS2018/seed_48/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,48,centralized,precision,0.9989351154848897,experiments/02_multiseed/results/CSECICIDS2018/seed_48/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,48,centralized,recall,0.9941165722638406,experiments/02_multiseed/results/CSECICIDS2018/seed_48/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,48,centralized,f1,0.9965200190483168,experiments/02_multiseed/results/CSECICIDS2018/seed_48/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,48,centralized,roc_auc,0.9999527356696356,experiments/02_multiseed/results/CSECICIDS2018/seed_48/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,48,nondp,accuracy,0.9992844460345643,experiments/02_multiseed/results/CSECICIDS2018/seed_48/nondp_local_10/iov_global_server_ensemble_summary.json
